Location,Latitude,Longitude
Bhiwandi (Depot),19.2813,73.0483
Thane,19.2183,72.9781
Kalyan,19.2403,73.1305
Dombivli,19.2189,73.0867
Ulhasnagar,19.2167,73.15
Ambernath,19.187,73.186
Badlapur,19.155,73.265
Airoli,19.1565,72.999
Ghansoli,19.13,72.996
Virar,19.46291,72.776
Vashi,19.0771,72.9986
Turbhe,19.088,73.009
Nerul,19.033,73.0183
Mulund,19.1726,72.9567
Bhandup,19.15,72.935
Ghatkopar,19.086,72.905
Powai,19.1176,72.9041
Kurla,19.0726,72.8796
Chembur,19.0625,72.8966
Panvel,18.9894,73.1175
